Route,Arrival_Time,Duration,Total_Stops,Additional_Info,Airl_Air Asia,Airl_Air India,Airl_GoAir,Airl_IndiGo,Airl_Jet Airways,Airl_Jet Airways Business,Airl_Multiple carriers,Airl_Multiple carriers Premium economy,Airl_SpiceJet,Airl_Trujet,Airl_Vistara,Airl_Vistara Premium economy,Sour_Banglore,Sour_Chennai,Sour_Delhi,Sour_Kolkata,Sour_Mumbai,Dest_Banglore,Dest_Cochin,Dest_Delhi,Dest_Hyderabad,Dest_Kolkata,Dest_New Delhi,day_sin,day_cos,month_sin,month_cos,Dep_hour_sin,Dep_hour_cos,Price
"['DEL', 'BLR', 'COK']",23:00,795,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-2.4492935982947064e-16,1.0,0.49999999999999994,0.8660254037844387,0.5847644347191547,-0.8112031532776407,8907
"['CCU', 'BLR']",22:55,155,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998,-0.7851416980953833,0.6193161663576191,4174
"['MAA', 'CCU']",13:55,135,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0,1.0,1.2246467991473532e-16,-1.0,0.10501408325034112,-0.9944707347725675,4667
"['CCU', 'BOM', 'BLR']",09:20 10 May,730,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1.2246467991473532e-16,-1.0,-1.0,-1.8369701987210297e-16,-0.6156498149087941,0.7880198635838869,9663
"['CCU', 'BLR']",19:50,155,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.8660254037844387,-0.4999999999999998,0.8660254037844387,-0.4999999999999998,-0.9895788034349067,-0.1439923324081471,4804
"['DEL', 'AMD', 'BOM', 'COK']",19:15 04 Mar,1595,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-2.4492935982947064e-16,1.0,1.0,6.123233995736766e-17,-0.9413265533656265,-0.3374971406231322,14011
"['DEL', 'PNQ', 'COK']",13:15,270,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0,1.0,0.8660254037844387,-0.4999999999999998,0.7776625251571416,-0.6286819521556334,5830
"['DEL', 'BOM', 'COK']",12:35 13 Jun,1355,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-0.8660254037844385,-0.5000000000000004,-2.4492935982947064e-16,1.0,-0.554116043730452,-0.8324394332805912,10262
"['DEL', 'CCU', 'BOM', 'COK']",19:15 13 Jun,1380,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-0.8660254037844385,-0.5000000000000004,-2.4492935982947064e-16,1.0,-0.7933195592119824,0.6088054508393514,13381
"['DEL', 'BOM', 'COK']",12:35 28 May,1235,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0,1.0,0.49999999999999994,-0.8660254037844387,-0.9001003353648385,-0.43568266694476776,12898
"['DEL', 'BOM', 'COK']",19:20,310,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0,1.0,1.2246467991473532e-16,-1.0,-0.5760888680120725,-0.8173870662988062,19495
"['BLR', 'COK', 'DEL']",13:20 19 Mar,920,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1.2246467991473532e-16,-1.0,1.0,6.123233995736766e-17,-0.4109498817307042,0.911657937334788,6955
"['BLR', 'DEL']",06:50,170,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.0,1.0,1.0,6.123233995736766e-17,0.8749817409708072,0.4841559180343614,3943
"['BLR', 'DEL']",21:50,175,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,-0.9740311084966399,0.22641422146324408,4823
"['CCU', 'BOM', 'BLR']",08:15 07 May,800,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,-0.9740311084966399,0.22641422146324408,7757
"['DEL', 'IDR', 'BOM', 'COK']",12:35 10 Jun,910,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-0.8660254037844385,-0.5000000000000004,-1.0,-1.8369701987210297e-16,-0.5836835986086659,0.8119811923408311,13292
"['DEL', 'LKO', 'COK']",03:35 02 Jun,345,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-2.4492935982947064e-16,1.0,0.49999999999999994,0.8660254037844387,-0.528362330082819,0.8490189916306079,8238
"['DEL', 'BOM', 'COK']",12:55,355,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.8660254037844387,-0.4999999999999998,0.49999999999999994,-0.8660254037844387,0.9571936672587714,-0.2894482395173693,7682
"['BLR', 'DEL']",12:35,170,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0,0.5847644347191547,-0.8112031532776407,4668
"['MAA', 'CCU']",09:20,135,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,-0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0,0.9532541807668106,-0.30216959948114724,3687
"['MAA', 'CCU']",09:20,135,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0,0.9532541807668106,-0.30216959948114724,3687
"['CCU', 'GAU', 'DEL', 'BLR']",23:15,805,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0.5739097205677828,-0.8189185750963337,13227
"['BLR', 'DEL']",06:50,170,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0,0.8749817409708072,0.4841559180343614,4423
"['DEL', 'NAG', 'BOM', 'COK']",12:35 16 Jun,1320,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0,-0.629199637853865,-0.7772437299358325,10919
"['DEL', 'BOM', 'COK']",12:35,330,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-0.8660254037844386,0.5000000000000001,0.49999999999999994,-0.8660254037844387,0.9532541807668106,-0.30216959948114724,12373
"['DEL', 'BOM', 'COK']",21:00,625,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,0.3754433436858726,-0.9268453461511105,5894
"['CCU', 'MAA', 'BLR']",20:20,315,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.49999999999999994,-0.8660254037844387,-0.7623701221606186,-0.6471412495250195,4649
"['CCU', 'BLR']",16:45,150,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-0.8660254037844386,0.5000000000000001,0.49999999999999994,-0.8660254037844387,-0.586922993695564,-0.8096427604020411,6245
"['BLR', 'BOM', 'DEL']",13:15,375,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,1.0,1.2246467991473532e-16,-1.0,0.9571936672587714,-0.2894482395173693,19225
"['DEL', 'BOM', 'COK']",19:00,715,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.8660254037844387,-0.4999999999999998,1.0,6.123233995736766e-17,0.9532541807668106,-0.30216959948114724,14924
"['DEL', 'HYD', 'COK']",18:10,665,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.8660254037844386,0.5000000000000001,0.49999999999999994,-0.8660254037844387,0.9532541807668106,-0.30216959948114724,9646
"['BLR', 'BOM', 'DEL']",15:15,510,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.8660254037844385,-0.5000000000000004,1.0,6.123233995736766e-17,0.9891917708578579,-0.14662755698399665,8714
"['DEL', 'BOM', 'COK']",19:00 19 May,1325,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-0.8660254037844386,0.5000000000000001,0.49999999999999994,-0.8660254037844387,-0.7240820562661391,0.6897138361620708,12373
"['BLR', 'DEL']",13:55,165,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,0.18405752575355783,-0.9829154730766417,3383
"['DEL', 'BOM', 'COK']",21:00,720,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.2246467991473532e-16,-1.0,1.0,6.123233995736766e-17,0.6775651471942905,-0.7354627599733241,13062
"['BLR', 'DEL']",08:35,170,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-2.4492935982947064e-16,1.0,1.0,6.123233995736766e-17,0.9929051090611755,0.11890939576087065,3527
"['BLR', 'DEL']",06:50,170,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.0,1.0,0.49999999999999994,-0.8660254037844387,0.8749817409708072,0.4841559180343614,3943
"['MAA', 'CCU']",13:55,135,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,0.10501408325034112,-0.9944707347725675,4667
"['CCU', 'HYD', 'BLR']",11:05 16 May,965,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.8660254037844387,-0.4999999999999998,0.49999999999999994,-0.8660254037844387,-0.9399706612026074,0.34125526527561895,6117
"['DEL', 'AMD', 'BOM', 'COK']",19:00 28 Jun,1195,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,-0.14333336592269377,0.989674464767719,11150
"['DEL', 'COK']",14:15,195,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.8660254037844386,0.5000000000000001,-1.0,-1.8369701987210297e-16,0.21016905417450496,-0.9776650595512729,7202
"['CCU', 'DEL', 'BLR']",10:55 02 May,1520,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0.6061608279073047,-0.7953420966544716,12121
"['BLR', 'DEL']",01:10 28 Mar,170,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-2.4492935982947064e-16,1.0,1.0,6.123233995736766e-17,-0.36182597999874894,0.9322456544269567,4377
"['BLR', 'DEL']",00:15 19 Jun,180,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0,-0.6051010957413,0.7961486443703073,3943
"['BLR', 'DEL']",02:45 04 Apr,170,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.0,1.0,1.0,6.123233995736766e-17,-0.010653779471429928,0.9999432468810288,4483
"['CCU', 'BOM', 'BLR']",12:00 25 Mar,975,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-2.4492935982947064e-16,1.0,1.0,6.123233995736766e-17,-0.8924229702296805,0.45119978081381495,14231
"['BLR', 'BOM', 'AMD', 'DEL']",23:55,905,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387,0.7692213554376801,-0.6389823990835883,17345
"['MAA', 'CCU']",09:20,135,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0.0,1.0,1.2246467991473532e-16,-1.0,0.9532541807668106,-0.30216959948114724,7414
"['DEL', 'BOM', 'COK']",01:30 07 May,390,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,-0.9399706612026074,0.34125526527561895,8073
"['BOM', 'DEL', 'HYD']",16:45 07 Mar,1505,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.0,1.0,1.2246467991473532e-16,-1.0,-0.8193005449732131,-0.5733642969409553,12395
"['CCU', 'BOM', 'BLR']",21:50,745,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,0.6271272234798025,-0.7789168412420634,8366
"['DEL', 'MAA', 'COK']",09:25 04 Apr,1640,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0,1.0,1.0,6.123233995736766e-17,0.9991751901553657,-0.040607134570032316,5117
"['DEL', 'BOM', 'COK']",19:00,615,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.8660254037844387,-0.4999999999999998,1.0,6.123233995736766e-17,0.7776625251571416,-0.6286819521556334,12524
"['DEL', 'BOM', 'COK']",01:30 16 May,630,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.8660254037844387,-0.4999999999999998,0.49999999999999994,-0.8660254037844387,-0.7536844845262299,-0.6572364093569613,7191
"['MAA', 'CCU']",09:20,135,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,-0.8660254037844387,0.9532541807668106,-0.30216959948114724,3687
"['DEL', 'BOM', 'COK']",21:00,625,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0,1.0,1.2246467991473532e-16,-1.0,0.3754433436858726,-0.9268453461511105,5894
"['BLR', 'DEL']",12:35,170,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0.8660254037844387,-0.4999999999999998,0.8660254037844387,-0.4999999999999998,0.5847644347191547,-0.8112031532776407,5403
"['BOM', 'HYD']",15:25,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,-0.45060543974273704,-0.8927232144815405,3625
"['DEL', 'BHO', 'BOM', 'COK']",19:15,800,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.8660254037844386,0.5000000000000001,0.49999999999999994,-0.8660254037844387,0.9957197078185813,0.09242436616866323,10861
"['MAA', 'CCU']",15:35,135,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,-0.3655476301831068,-0.9307926353745578,6297
"['BOM', 'HYD']",08:30,85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-2.4492935982947064e-16,1.0,0.49999999999999994,0.8660254037844387,0.9532541807668106,-0.30216959948114724,5678
"['BLR', 'BOM', 'DEL']",08:15 13 Mar,1590,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.8660254037844386,0.5000000000000001,-1.0,-1.8369701987210297e-16,0.9929051090611755,0.11890939576087065,9134
"['DEL', 'BOM', 'COK']",19:00,440,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0,1.0,1.2246467991473532e-16,-1.0,0.10501408325034112,-0.9944707347725675,10791
"['DEL', 'AMD', 'BOM', 'COK']",12:35 25 Jun,810,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0,1.0,1.2246467991473532e-16,-1.0,-0.14333336592269377,0.989674464767719,12819
"['DEL', 'BLR', 'COK']",10:05,300,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.2246467991473532e-16,-1.0,1.0,6.123233995736766e-17,0.9746307060011029,0.22381909418052723,6893
"['BLR', 'DEL']",12:35,165,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0.8660254037844386,0.5000000000000001,-1.0,-1.8369701987210297e-16,0.5739097205677828,-0.8189185750963337,7240
"['BLR', 'DEL']",14:30,170,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.0,1.0,1.0,6.123233995736766e-17,0.10501408325034112,-0.9944707347725675,3898
"['BOM', 'HYD']",07:55,90,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0,1.0,1.0,6.123233995736766e-17,0.9955957389445023,-0.09375033117568468,4049
"['DEL', 'BOM', 'COK']",12:35 16 Jun,1145,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0,-0.9945404404273636,-0.10435186799739504,10262
"['MAA', 'CCU']",10:35,135,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.2246467991473532e-16,-1.0,1.0,6.123233995736766e-17,0.8177704875523242,-0.5755444636936697,3332
"['CCU', 'BOM', 'BLR']",12:00 10 Jun,890,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-0.8660254037844385,-0.5000000000000004,-1.0,-1.8369701987210297e-16,-0.6156498149087941,0.7880198635838869,10844
"['BLR', 'DEL']",22:35,160,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-2.4492935982947064e-16,1.0,1.0,6.123233995736766e-17,-0.8800901734084899,0.474806578166114,7229
"['CCU', 'BOM', 'BLR']",04:40 07 May,1330,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,0.994258972314923,-0.1070004484629539,13941
"['DEL', 'BOM', 'COK']",21:00,575,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,0.14465123504913843,-0.9894827033348076,5894
"['DEL', 'BOM', 'COK']",19:00,600,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-0.8660254037844386,0.5000000000000001,0.49999999999999994,-0.8660254037844387,0.6775651471942905,-0.7354627599733241,10197
"['BLR', 'BOM', 'DEL']",11:25 07 Mar,1280,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,1.0,1.2246467991473532e-16,-1.0,-0.565152571496999,-0.8249864065124524,13712
"['DEL', 'MAA', 'COK']",07:25,325,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0,1.0,1.2246467991473532e-16,-1.0,0.507860257337409,0.8614394691544964,5636
"['DEL', 'JAI', 'BOM', 'COK']",04:25 07 Jun,1125,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,0.5955154394050386,-0.8033438625085921,13014
"['CCU', 'BOM', 'BLR']",20:45,740,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387,0.8100333975324802,-0.5863837437054228,7064
"['CCU', 'DEL', 'BLR']",14:25 25 May,1080,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,-0.8660254037844387,-0.776824590094043,0.6297170445725778,10703
"['DEL', 'HYD', 'COK']",22:30,555,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0,1.0,0.49999999999999994,-0.8660254037844387,-0.35311977234744457,-0.9355781241442581,9646
"['DEL', 'BOM', 'COK']",13:20,665,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0,1.0,1.2246467991473532e-16,-1.0,0.5418624327185525,0.8404671938917856,17057
"['BLR', 'BOM', 'DEL']",10:25 13 Mar,1050,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,-0.9540556258204835,-0.2996295426694196,13817
"['DEL', 'BHO', 'BOM', 'COK']",19:15,800,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0,1.0,1.2246467991473532e-16,-1.0,0.9957197078185813,0.09242436616866323,13748
"['CCU', 'BLR']",23:20,155,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-2.4492935982947064e-16,1.0,0.8660254037844387,-0.4999999999999998,-0.7421935553609063,0.6701855909975515,4880
"['MAA', 'CCU']",07:40,145,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-0.8660254037844385,-0.5000000000000004,1.2246467991473532e-16,-1.0,0.9802457209617461,0.19778353454265732,3540
"['BLR', 'DEL']",08:35,160,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.8660254037844387,-0.4999999999999998,0.49999999999999994,-0.8660254037844387,0.9957197078185813,0.09242436616866323,3257
"['BLR', 'DEL']",22:50,180,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.8660254037844387,-0.4999999999999998,1.0,6.123233995736766e-17,-0.8863351687216444,0.4630442405291033,6478
"['BOM', 'HYD']",08:30,85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0,0.9532541807668106,-0.30216959948114724,8040
"['DEL', 'ATQ', 'BOM', 'COK']",12:35 13 Jun,995,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-0.8660254037844385,-0.5000000000000004,-2.4492935982947064e-16,1.0,-0.8170032826257373,0.5766330168996305,14300
"['CCU', 'BOM', 'BLR']",20:45,740,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.8660254037844387,-0.4999999999999998,0.49999999999999994,-0.8660254037844387,0.8100333975324802,-0.5863837437054228,14781
"['CCU', 'BOM', 'BLR']",08:15 10 Jun,735,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-0.8660254037844385,-0.5000000000000004,-1.0,-1.8369701987210297e-16,-0.8170032826257373,0.5766330168996305,14939
